id,difficulty
0,C1
1,B1
2,B1
3,B1
4,C1
5,C1
6,A1
7,A1
8,B1
9,A1
10,A1
11,A1
12,B1
13,C1
14,A1
15,A1
16,B1
17,A1
18,A1
19,A1
20,C1
21,B1
22,C1
23,C1
24,B1
25,C1
26,A1
27,A1
28,C1
29,B1
30,A1
31,A1
32,A1
33,A1
34,A1
35,A1
36,C1
37,B1
38,A1
39,A1
40,A1
41,B1
42,C1
43,C1
44,C1
45,C1
46,B1
47,C1
48,A1
49,A1
50,C1
51,A1
52,B1
53,A1
54,A1
55,B1
56,C1
57,B1
58,C1
59,B1
60,B1
61,A1
62,C1
63,C1
64,C1
65,B1
66,B1
67,A1
68,B1
69,C1
70,A1
71,B1
72,B1
73,B1
74,B1
75,A1
76,C1
77,C1
78,B1
79,B1
80,A1
81,A1
82,C1
83,A1
84,A1
85,B1
86,B1
87,B1
88,C1
89,B1
90,C1
91,A1
92,B1
93,B1
94,A1
95,A1
96,A1
97,A1
98,A1
99,C1
100,C1
101,C1
102,A1
103,A1
104,C1
105,C1
106,B1
107,A1
108,A1
109,C1
110,B1
111,A1
112,C1
113,C1
114,C1
115,B1
116,C1
117,A1
118,A1
119,C1
120,A1
121,B1
122,A1
123,B1
124,A1
125,C1
126,C1
127,B1
128,C1
129,B1
130,A1
131,A1
132,C1
133,C1
134,C1
135,C1
136,A1
137,B1
138,B1
139,B1
140,A1
141,C1
142,C1
143,C1
144,C1
145,B1
146,A1
147,B1
148,B1
149,B1
150,B1
151,B1
152,A1
153,A1
154,A1
155,B1
156,C1
157,A1
158,A1
159,A1
160,A1
161,A1
162,B1
163,B1
164,C1
165,C1
166,A1
167,B1
168,B1
169,B1
170,B1
171,C1
172,A1
173,B1
174,A1
175,C1
176,C1
177,B1
178,B1
179,C1
180,A1
181,C1
182,B1
183,A1
184,B1
185,B1
186,A1
187,C1
188,C1
189,C1
190,A1
191,B1
192,B1
193,B1
194,B1
195,A1
196,C1
197,B1
198,C1
199,B1
200,C1
201,C1
202,A1
203,A1
204,C1
205,A1
206,A1
207,B1
208,A1
209,A1
210,A1
211,A1
212,A1
213,C1
214,B1
215,B1
216,B1
217,C1
218,B1
219,B1
220,B1
221,B1
222,A1
223,B1
224,A1
225,C1
226,A1
227,A1
228,A1
229,A1
230,C1
231,B1
232,C1
233,A1
234,B1
235,B1
236,C1
237,B1
238,C1
239,C1
240,B1
241,A1
242,A1
243,A1
244,B1
245,A1
246,B1
247,B1
248,A1
249,B1
250,B1
251,B1
252,A1
253,B1
254,B1
255,C1
256,B1
257,A1
258,A1
259,C1
260,A1
261,A1
262,A1
263,B1
264,B1
265,C1
266,B1
267,A1
268,B1
269,B1
270,A1
271,B1
272,A1
273,C1
274,A1
275,B1
276,C1
277,C1
278,C1
279,B1
280,A1
281,C1
282,C1
283,A1
284,A1
285,A1
286,C1
287,C1
288,B1
289,C1
290,B1
291,B1
292,A1
293,B1
294,C1
295,C1
296,B1
297,B1
298,B1
299,A1
300,A1
301,B1
302,C1
303,A1
304,B1
305,A1
306,A1
307,B1
308,B1
309,A1
310,C1
311,B1
312,B1
313,C1
314,B1
315,C1
316,A1
317,B1
318,A1
319,A1
320,C1
321,C1
